date,code,premium_pb
2026-07-01,513520.SH,1.09
2026-07-01,513100.SH,1.07
2026-07-01,520830.SH,1.01
2026-07-01,159985.SZ,1.01
2026-07-01,162411.SZ,0.99
2026-07-02,513520.SH,1.09
2026-07-02,513100.SH,1.07
2026-07-02,588000.SH,1.01
2026-07-02,164824.SZ,0.99
2026-07-02,513030.SH,0.99
2026-07-02,520830.SH,1.00
2026-07-02,159985.SZ,1.01
2026-07-02,162411.SZ,1.00
2026-07-02,513050.SH,0.99
2026-07-03,588000.SH,1.01
2026-07-03,513520.SH,1.09
2026-07-03,164824.SZ,0.99
2026-07-03,159985.SZ,1.01
2026-07-03,513030.SH,0.99
2026-07-03,513100.SH,1.07
2026-07-03,513050.SH,0.99
2026-07-10,588000.SH,1.01
2026-07-10,159985.SZ,1.07
2026-07-10,164824.SZ,1.01
2026-07-10,513520.SH,1.08
2026-07-10,513030.SH,1.02
2026-07-10,159338.SZ,1.00
2026-07-10,511380.SH,1.00
2026-07-10,520830.SH,0.99
2026-07-10,563300.SH,1.00
2026-07-10,513100.SH,1.07
2026-07-10,513050.SH,0.99
2026-07-10,162411.SZ,0.98
2026-07-10,512890.SH,1.00
2026-07-10,159949.SZ,1.00
2026-07-10,518880.SH,1.00
