date,broad_valid,yesterday_holdings_raw,target_holdings_raw,yesterday_holdings,target_holdings,yesterday_holding_items,target_holding_items,added_names,removed_names,add_position_signal,position_state,current_drawdown_pct,control_drawdown_pct,buy_signals,sell_signals
2026-06-26,True,"['日经225', '科创50']","['日经225', '科创50']","[""日经225"",""科创50""]","[""日经225"",""科创50""]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""科创50"",""clean_name"":""科创50"",""change"":""""}]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""科创50"",""clean_name"":""科创50"",""change"":""""}]",[],[],False,half,0.0,0.0,"[{""code"":""159338.SZ"",""name"":""中证A500""}]",[]
2026-06-23,True,"['日经225', '科创50↓']","['日经225', '创业板50↑']","[""日经225"",""科创50""]","[""日经225"",""创业板50""]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""科创50↓"",""clean_name"":""科创50"",""change"":""removed""}]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""创业板50↑"",""clean_name"":""创业板50"",""change"":""added""}]","[""创业板50""]","[""科创50""]",False,full,0.0,0.0,"[{""code"":""159338.SZ"",""name"":""中证A500""}]","[{""code"":""164824.SZ"",""name"":""印度""}]"
2026-06-22,True,"['日经225', '纳指↓']","['日经225', '科创50↑']","[""日经225"",""纳指""]","[""日经225"",""科创50""]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""纳指↓"",""clean_name"":""纳指"",""change"":""removed""}]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""科创50↑"",""clean_name"":""科创50"",""change"":""added""}]","[""科创50""]","[""纳指""]",False,full,0.0,0.0,[],[]
2026-06-18,True,"['日经225', '纳指']","['纳指', '日经225']","[""日经225"",""纳指""]","[""纳指"",""日经225""]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""}]","[{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""},{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""}]",[],[],False,full,-0.62,0.0,"[{""code"":""588000.SH"",""name"":""科创50""}]",[]
2026-06-17,True,"['日经225', '纳指']","['纳指', '日经225']","[""日经225"",""纳指""]","[""纳指"",""日经225""]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""}]","[{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""},{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""}]",[],[],False,full,-0.86,0.0,"[{""code"":""164824.SZ"",""name"":""印度""}]","[{""code"":""588000.SH"",""name"":""科创50""}]"
2026-06-16,True,"['日经225', '纳指']","['纳指', '日经225']","[""日经225"",""纳指""]","[""纳指"",""日经225""]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""}]","[{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""},{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""}]",[],[],False,full,-1.89,0.0,"[{""code"":""159949.SZ"",""name"":""创业板50""},{""code"":""588000.SH"",""name"":""科创50""}]",[]
2026-06-15,True,"['日经225', '纳指']","['纳指', '日经225']","[""日经225"",""纳指""]","[""纳指"",""日经225""]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""}]","[{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""},{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""}]",[],[],True,full,-6.81,-2.32,[],[]
2026-06-12,True,"['日经225', '纳指']","['纳指', '日经225']","[""日经225"",""纳指""]","[""纳指"",""日经225""]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""}]","[{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""},{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""}]",[],[],True,full,-8.24,-3.82,[],"[{""code"":""159949.SZ"",""name"":""创业板50""}]"
2026-06-11,True,"['日经225', '纳指']","['纳指', '日经225']","[""日经225"",""纳指""]","[""纳指"",""日经225""]","[{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""},{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""}]","[{""raw"":""纳指"",""clean_name"":""纳指"",""change"":""""},{""raw"":""日经225"",""clean_name"":""日经225"",""change"":""""}]",[],[],True,full,-8.18,-3.76,[],[]
2026-06-10,False,,,[],[],[],[],[],[],False,unknown,,,[],[]
