date,row_order,module,mark,name_raw,name,code_if_found,pb,suffix_flags,ret20_pct,bias_pct,trend,market_signal,convex,nav_like,last_signal,profit_pct,latest_signal,raw_line
2026-06-26,1,broad,√√√,日经225,日经225,513520.SH,1.06,,22.4,9.5,↗,-,↘,1.6,0415_B,28.5,-,"√√√日经225PB1.06:[22.4, 9.5, '↗', '-', '↘', 1.6, '0415_B', 28.5, '-']"
2026-06-26,2,broad,√√√,科创50,科创50,588000.SH,1.0,,14.9,16.3,↗,★,↗,1.9,0618_B,5.9,-,"√√√科创50PB1.0:[14.9, 16.3, '↗', '★', '↗', 1.9, '0618_B', 5.9, '-']"
2026-06-26,3,broad,×××,创业板50,创业板50,159949.SZ,1.0,,10.6,7.1,↗,★,↘,1.8,0616_B,5.1,-,"×××创业板50PB1.0:[10.6, 7.1, '↗', '★', '↘', 1.8, '0616_B', 5.1, '-']"
2026-06-26,4,broad,×××,纳指,纳指,513100.SH,1.09,,4.6,-0.2,-,-,↘,2.1,0415_B,17.4,-,"×××纳指PB1.09:[4.6, -0.2, '-', '-', '↘', 2.1, '0415_B', 17.4, '-']"
2026-06-26,5,broad,×××,中证A500,中证A500,159338.SZ,1.0,,3.7,4.2,↗,★,↗,1.2,0624_S,-0.0,0626_B,"×××中证A500PB1.0:[3.7, 4.2, '↗', '★', '↗', 1.2, '0624_S', -0.0, '0626_B']"
2026-06-26,6,broad,×××,印度,印度,164824.SZ,0.99,,3.1,2.7,↗,★,↗,1.0,0625_B,,-,"×××印度PB0.99:[3.1, 2.7, '↗', '★', '↗', 1.0, '0625_B', '-', '-']"
2026-06-26,7,broad,×××,中证2000,中证2000,563300.SH,1.0,,-0.3,2.5,-,●,↗,1.6,0601_S,-4.1,-,"×××中证2000PB1.0:[-0.3, 2.5, '-', '●', '↗', 1.6, '0601_S', -4.1, '-']"
2026-06-26,8,broad,×××,沙特,沙特,520830.SH,0.99,,-0.5,0.0,-,●,↘,0.8,0427_S,2.1,-,"×××沙特PB0.99:[-0.5, 0.0, '-', '●', '↘', 0.8, '0427_S', 2.1, '-']"
2026-06-26,9,broad,×××,可转债,可转债,511380.SH,1.0,_X,-1.8,-0.8,-,●,↘,1.1,0521_S,1.7,-,"×××可转债PB1.0_X:[-1.8, -0.8, '-', '●', '↘', 1.1, '0521_S', 1.7, '-']"
2026-06-26,10,broad,×××,德国,德国,513030.SH,0.99,,-2.5,-1.9,↘,●,↘,0.7,0528_S,4.4,-,"×××德国PB0.99:[-2.5, -1.9, '↘', '●', '↘', 0.7, '0528_S', 4.4, '-']"
2026-06-26,11,broad,×××,豆粕,豆粕,159985.SZ,1.02,_X★,-4.2,-1.2,↘,●,↗,1.5,0518_S,5.9,-,"×××豆粕PB1.02_X★:[-4.2, -1.2, '↘', '●', '↗', 1.5, '0518_S', 5.9, '-']"
2026-06-26,12,broad,×××,红利低波,红利低波,512890.SH,1.0,★,-6.2,-5.5,↘,●,↘,1.1,0323_S,7.8,-,"×××红利低波PB1.0★:[-6.2, -5.5, '↘', '●', '↘', 1.1, '0323_S', 7.8, '-']"
2026-06-26,13,broad,×××,华宝油气,华宝油气,162411.SZ,0.98,★,-11.6,-6.8,↘,●,↗,1.5,0525_S,9.6,-,"×××华宝油气PB0.98★:[-11.6, -6.8, '↘', '●', '↗', 1.5, '0525_S', 9.6, '-']"
2026-06-26,14,broad,×××,黄金,黄金,518880.SH,1.0,★,-12.1,-7.3,↘,●,↘,1.4,0309_S,24.4,-,"×××黄金PB1.0★:[-12.1, -7.3, '↘', '●', '↘', 1.4, '0309_S', 24.4, '-']"
2026-06-26,15,broad,×××,中概互联网,中概互联网,513050.SH,1.0,★,-16.0,-10.0,↘,●,↘,1.0,0512_S,19.5,-,"×××中概互联网PB1.0★:[-16.0, -10.0, '↘', '●', '↘', 1.0, '0512_S', 19.5, '-']"
2026-06-23,1,broad,√√√,日经225,日经225,513520.SH,1.05,,23.5,11.3,↗,-,↗,1.6,0415_B,28.3,-,"√√√日经225PB1.05:[23.5, 11.3, '↗', '-', '↗', 1.6, '0415_B', 28.3, '-']"
2026-06-23,2,broad,××√,创业板50,创业板50,159949.SZ,1.0,,11.5,7.9,↗,★,↗,1.8,0616_B,5.0,-,"××√创业板50PB1.0:[11.5, 7.9, '↗', '★', '↗', 1.8, '0616_B', 5.0, '-']"
