date,nav,control_nav,daily_return,control_daily_return,drawdown,control_drawdown,position_scale,next_position_scale,control_label,target_holdings
2021-01-04,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-05,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-06,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-07,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-08,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-11,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-12,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-13,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-14,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-15,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-18,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-19,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-20,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-21,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-22,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-25,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-26,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-27,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-28,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-01-29,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-02-01,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-02-02,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-02-03,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-02-04,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-02-05,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,
2021-02-08,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,现在半仓,中概互联网|华宝油气
2021-02-09,0.9972732793522268,0.9986366396761134,-0.002726720647773295,-0.0013633603238866474,-0.272672064777324,-0.136336032388662,0.5,0.5,现在半仓,华宝油气|中概互联网
2021-02-10,1.0085989922838576,1.0043072377649975,0.011356679423906224,0.005678339711953112,0.0,0.0,0.5,0.5,现在半仓,中概互联网|华宝油气
2021-02-18,0.9997381149643281,0.9998956513500635,-0.008785332314744043,-0.004392666157372022,-0.8785332314743988,-0.4392666157371994,0.5,0.5,现在半仓,中概互联网|华宝油气
2021-02-19,0.9963854677713266,0.9982190636024248,-0.0033535254311285456,-0.0016767627155642728,-1.210939591053417,-0.6062063414101648,0.5,0.5,现在半仓,中概互联网|华宝油气
2021-02-22,0.9854984712310552,0.9927655479483974,-0.010926490693027702,-0.005463245346513851,-2.2903573401847233,-1.1492190220878218,0.5,0.5,现在半仓,华宝油气|中概互联网
2021-02-23,0.9923278928911338,0.996205438894179,0.006929916036853445,0.0034649580184267226,-1.6132377205612558,-0.8067052159106636,0.5,0.5,现在半仓,中概互联网|华宝油气
2021-02-24,0.9644168488803977,0.9821953853383426,-0.02812683611000555,-0.014063418055002774,-4.380546058589108,-2.2017019887124345,0.5,1.0,现在满仓,华宝油气|中概互联网
2021-02-25,0.9700568196409054,0.9876937772587467,0.00584806327995524,0.00559806327995524,-3.821357441144957,-1.65422092777332,1.0,1.0,现在满仓,华宝油气|中概互联网
2021-02-26,0.9671113029820767,0.9846947070848842,-0.0030364372469635637,-0.0030364372469635637,-4.11339785377306,-1.952841714429887,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-01,0.9772474072203482,0.9950150995393104,0.010480804233201357,0.010480804233201357,-3.108429148091585,-0.9252286428171108,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-02,0.9657938445815075,0.9833532954915702,-0.01172022821878732,-0.01172022821878732,-4.2440204709527585,-2.0864075738474708,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-03,0.9817527262909324,0.9996023314627233,0.016524107912843644,0.016524107912843644,-2.6617383319147425,-0.46847280646354905,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-04,0.9824490048202167,1.0003112692864555,0.0007092198581559739,0.0007092198581559739,-2.5927041037813514,-0.3978830708653125,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-05,0.977364339561154,0.9951341578697459,-0.0051755004423799655,-0.0051755004423799655,-3.0968356067832548,-0.9133738710940253,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-08,0.9772710496203753,0.9950391717904541,-9.545052648496366e-05,-9.545052648496366e-05,-3.1060850648426452,-0.9228317417256493,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-09,0.9748850673522974,0.9926098091066243,-0.0024414744190005,-0.0024414744190005,-3.3426490795136377,-1.1647261135352194,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-10,0.9631249346353422,0.9806358611181205,-0.01206309657495791,-0.01206309657495791,-4.508636038347069,-2.356985567440073,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-11,0.968732648956363,0.9863455313429712,0.005822416302765587,0.005822416302765587,-3.9526455640434333,-1.7884672883567543,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-12,0.9780679694806406,0.995850580741993,0.00963663249538943,0.00963663249538943,-3.0270725071897098,-0.8420388408057478,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-15,0.9830871367470808,1.000961003323135,0.00513171622326547,0.00513171622326547,-2.5294349619572887,-0.3331883228591681,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-16,0.9833136175102357,1.0011916018158293,0.00023037709953593888,0.00023037709953593888,-2.5069799758936973,-0.3102273718649906,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-17,0.984107861574829,1.002000286322077,0.0008077220232182158,0.0008077220232182158,-2.4282327165101814,-0.2297057470236452,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-18,0.9836208167759729,1.0015043863837059,-0.0004949099767140308,-0.0004949099767140308,-2.476521957584399,-0.2790830610291284,1.0,1.0,现在满仓,华宝油气|红利低波
2021-03-19,0.9743750670852552,0.9920905363383092,-0.009399709250788923,-0.009399709250788923,-3.3932142963088108,-1.216430686477532,1.0,1.0,现在满仓,红利低波|华宝油气
2021-03-22,0.984816691906368,1.0027220041569689,0.010716227430108471,0.010716227430108471,-2.3579540094162965,-0.15784349135593567,1.0,1.0,现在满仓,红利低波|华宝油气
2021-03-23,0.9761329465273274,0.9938803764290666,-0.008817626112968269,-0.008817626112968269,-3.218925063866518,-1.0382142977616193,1.0,1.0,现在满仓,红利低波|华宝油气
2021-03-24,0.9681642566994945,0.9857668049387189,-0.008163529216160814,-0.008163529216160814,-4.009000196679091,-1.8460917266252874,1.0,1.0,现在满仓,红利低波|华宝油气
2021-03-25,0.967469734277185,0.9850596551503841,-0.0007173601147776321,-0.0007173601147776321,-4.077860311315618,-1.9165034255301583,1.0,1.0,现在满仓,德国
2021-03-26,0.973937984106097,0.9916455065937422,0.0066857386848845355,0.0066857386848845355,-3.436549951262069,-1.260742798133463,1.0,1.0,现在满仓,德国
2021-03-29,0.9797253914819398,0.9975381369385269,0.005942275042444933,0.005942275042444933,-2.8627433720250672,-0.6740069743532584,1.0,1.0,现在满仓,德国|红利低波
2021-03-30,0.9857556919818252,1.0036780765360258,0.00615509259259267,0.00615509259259267,-2.2648545632894534,-0.06264629042920244,1.0,1.0,现在满仓,德国|红利低波
2021-03-31,0.982901974097676,1.0007724741639197,-0.002894954507857761,-0.002894954507857761,-2.547793363147599,-0.35196038305410626,1.0,1.0,现在满仓,德国|红利低波
2021-04-01,0.9885351224686523,1.0065080408644849,0.0057311395433382595,0.0057311395433382595,-1.9892811681055722,0.0,1.0,1.0,现在满仓,德国|红利低波
2021-04-02,0.9845110899884978,1.0024108459789245,-0.004070702586778441,-0.004070702586778441,-2.3882536547865763,-0.4070702586778441,1.0,1.0,现在满仓,德国|红利低波
2021-04-06,0.9866342832487051,1.0045726417918757,0.002156596590732085,0.002156596590732085,-2.177744495403078,-0.1922884859366758,1.0,1.0,现在满仓,德国|红利低波
2021-04-07,0.9896127018776586,1.0076052121386085,0.0030187666083795195,0.0030187666083795195,-1.8824419369294354,0.0,1.0,1.0,现在满仓,德国|红利低波
2021-04-08,0.9910491855437973,1.0090678130393518,0.0014515614678481947,0.0014515614678481947,-1.7400182703257272,0.0,1.0,1.0,现在满仓,德国|红利低波
2021-04-09,0.9924430662548294,1.0104870364050893,0.0014064697609000865,0.0014064697609000865,-1.6018185773163385,0.0,1.0,1.0,现在满仓,德国|纳指
2021-04-12,1.0037604832239009,1.0220102194688736,0.011403593167092108,0.011403593167092108,-0.47972574799033385,0.0,1.0,1.0,现在满仓,德国|纳指
2021-04-13,0.9977475410320644,1.015887953777167,-0.0059904153354632395,-0.0059904153354632395,-1.0758935250590906,-0.5990415335463295,1.0,1.0,现在满仓,纳指|德国
2021-04-14,1.001366385641869,1.0195725939236004,0.0036270143107157704,0.0036270143107157704,-0.7170943751997116,-0.23851283468965256,1.0,1.0,现在满仓,纳指|德国
2021-04-15,1.0019064969609857,1.020122525204034,0.0005393743257821049,0.0005393743257821049,-0.6635437249166376,-0.18470404981083544,1.0,1.0,现在满仓,纳指|德国
2021-04-16,1.0028459448520632,1.021079053540611,0.0009376602446706794,0.0009376602446706794,-0.5703998790210218,-0.09111121498830421,1.0,1.0,现在满仓,纳指|德国
