date,code,name,weight,strategy_weight,position_scale
2021-02-09,513050.SH,中概互联网,0.25,0.5,0.5
2021-02-09,162411.SZ,华宝油气,0.25,0.5,0.5
2021-02-10,162411.SZ,华宝油气,0.25,0.5,0.5
2021-02-10,513050.SH,中概互联网,0.25,0.5,0.5
2021-02-18,513050.SH,中概互联网,0.25,0.5,0.5
2021-02-18,162411.SZ,华宝油气,0.25,0.5,0.5
2021-02-19,513050.SH,中概互联网,0.25,0.5,0.5
2021-02-19,162411.SZ,华宝油气,0.25,0.5,0.5
2021-02-22,513050.SH,中概互联网,0.25,0.5,0.5
2021-02-22,162411.SZ,华宝油气,0.25,0.5,0.5
2021-02-23,162411.SZ,华宝油气,0.25,0.5,0.5
2021-02-23,513050.SH,中概互联网,0.25,0.5,0.5
2021-02-24,513050.SH,中概互联网,0.25,0.5,0.5
2021-02-24,162411.SZ,华宝油气,0.25,0.5,0.5
2021-02-25,162411.SZ,华宝油气,0.5,0.5,1.0
2021-02-25,513050.SH,中概互联网,0.5,0.5,1.0
2021-02-26,162411.SZ,华宝油气,0.5,0.5,1.0
2021-02-26,513050.SH,中概互联网,0.5,0.5,1.0
2021-03-01,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-01,512890.SH,红利低波,0.5,0.5,1.0
2021-03-02,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-02,512890.SH,红利低波,0.5,0.5,1.0
2021-03-03,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-03,512890.SH,红利低波,0.5,0.5,1.0
2021-03-04,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-04,512890.SH,红利低波,0.5,0.5,1.0
2021-03-05,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-05,512890.SH,红利低波,0.5,0.5,1.0
2021-03-08,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-08,512890.SH,红利低波,0.5,0.5,1.0
2021-03-09,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-09,512890.SH,红利低波,0.5,0.5,1.0
2021-03-10,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-10,512890.SH,红利低波,0.5,0.5,1.0
2021-03-11,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-11,512890.SH,红利低波,0.5,0.5,1.0
2021-03-12,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-12,512890.SH,红利低波,0.5,0.5,1.0
2021-03-15,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-15,512890.SH,红利低波,0.5,0.5,1.0
2021-03-16,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-16,512890.SH,红利低波,0.5,0.5,1.0
2021-03-17,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-17,512890.SH,红利低波,0.5,0.5,1.0
2021-03-18,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-18,512890.SH,红利低波,0.5,0.5,1.0
2021-03-19,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-19,512890.SH,红利低波,0.5,0.5,1.0
2021-03-22,512890.SH,红利低波,0.5,0.5,1.0
2021-03-22,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-23,512890.SH,红利低波,0.5,0.5,1.0
2021-03-23,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-24,512890.SH,红利低波,0.5,0.5,1.0
2021-03-24,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-25,512890.SH,红利低波,0.5,0.5,1.0
2021-03-25,162411.SZ,华宝油气,0.5,0.5,1.0
2021-03-26,513030.SH,德国,1.0,1.0,1.0
2021-03-29,513030.SH,德国,1.0,1.0,1.0
2021-03-30,513030.SH,德国,0.5,0.5,1.0
2021-03-30,512890.SH,红利低波,0.5,0.5,1.0
2021-03-31,513030.SH,德国,0.5,0.5,1.0
2021-03-31,512890.SH,红利低波,0.5,0.5,1.0
2021-04-01,513030.SH,德国,0.5,0.5,1.0
2021-04-01,512890.SH,红利低波,0.5,0.5,1.0
2021-04-02,513030.SH,德国,0.5,0.5,1.0
2021-04-02,512890.SH,红利低波,0.5,0.5,1.0
2021-04-06,513030.SH,德国,0.5,0.5,1.0
2021-04-06,512890.SH,红利低波,0.5,0.5,1.0
2021-04-07,513030.SH,德国,0.5,0.5,1.0
2021-04-07,512890.SH,红利低波,0.5,0.5,1.0
2021-04-08,513030.SH,德国,0.5,0.5,1.0
2021-04-08,512890.SH,红利低波,0.5,0.5,1.0
2021-04-09,513030.SH,德国,0.5,0.5,1.0
2021-04-09,512890.SH,红利低波,0.5,0.5,1.0
2021-04-12,513030.SH,德国,0.5,0.5,1.0
2021-04-12,513100.SH,纳指,0.5,0.5,1.0
2021-04-13,513030.SH,德国,0.5,0.5,1.0
2021-04-13,513100.SH,纳指,0.5,0.5,1.0
2021-04-14,513100.SH,纳指,0.5,0.5,1.0
2021-04-14,513030.SH,德国,0.5,0.5,1.0
2021-04-15,513100.SH,纳指,0.5,0.5,1.0
2021-04-15,513030.SH,德国,0.5,0.5,1.0
2021-04-16,513100.SH,纳指,0.5,0.5,1.0
2021-04-16,513030.SH,德国,0.5,0.5,1.0
2021-04-19,513100.SH,纳指,0.5,0.5,1.0
2021-04-19,513030.SH,德国,0.5,0.5,1.0
2021-04-20,513100.SH,纳指,0.5,0.5,1.0
2021-04-20,513030.SH,德国,0.5,0.5,1.0
2021-04-21,513100.SH,纳指,0.5,0.5,1.0
2021-04-21,513030.SH,德国,0.5,0.5,1.0
2021-04-22,513030.SH,德国,0.5,0.5,1.0
2021-04-22,159949.SZ,创业板50,0.5,0.5,1.0
2021-04-23,159949.SZ,创业板50,0.5,0.5,1.0
2021-04-23,513030.SH,德国,0.5,0.5,1.0
2021-04-26,159949.SZ,创业板50,0.25,0.5,0.5
2021-04-26,513030.SH,德国,0.25,0.5,0.5
2021-04-27,159949.SZ,创业板50,0.25,0.5,0.5
2021-04-27,513100.SH,纳指,0.25,0.5,0.5
2021-04-28,159949.SZ,创业板50,0.25,0.5,0.5
2021-04-28,513100.SH,纳指,0.25,0.5,0.5
2021-04-29,159949.SZ,创业板50,0.25,0.5,0.5
2021-04-29,513100.SH,纳指,0.25,0.5,0.5
2021-04-30,159949.SZ,创业板50,0.25,0.5,0.5
2021-04-30,513100.SH,纳指,0.25,0.5,0.5
2021-05-06,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-06,513100.SH,纳指,0.25,0.5,0.5
2021-05-07,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-07,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-10,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-10,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-11,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-11,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-12,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-12,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-13,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-13,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-14,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-14,159985.SZ,豆粕,0.25,0.5,0.5
2021-05-17,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-17,512890.SH,红利低波,0.25,0.5,0.5
2021-05-18,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-18,512890.SH,红利低波,0.25,0.5,0.5
2021-05-19,159949.SZ,创业板50,0.25,0.5,0.5
2021-05-19,512890.SH,红利低波,0.25,0.5,0.5
