date,signal_date,action,code,name,weight_before,weight_after,price,reason
2021-02-09,2021-02-08,BUY,162411.SZ,华宝油气,0.0,0.25,0.356,next_open_rebalance
2021-02-09,2021-02-08,BUY,513050.SH,中概互联网,0.0,0.25,2.47,next_open_rebalance
2021-02-25,2021-02-24,BUY,162411.SZ,华宝油气,0.25,0.5,0.401,next_open_rebalance
2021-02-25,2021-02-24,BUY,513050.SH,中概互联网,0.25,0.5,2.385,next_open_rebalance
2021-03-01,2021-02-26,BUY,512890.SH,红利低波,0.0,0.5,0.685,next_open_rebalance
2021-03-01,2021-02-26,SELL,513050.SH,中概互联网,0.5,0.0,2.31,next_open_rebalance
2021-03-26,2021-03-25,SELL,512890.SH,红利低波,0.5,0.0,0.695,next_open_rebalance
2021-03-26,2021-03-25,SELL,162411.SZ,华宝油气,0.5,0.0,0.395,next_open_rebalance
2021-03-26,2021-03-25,BUY,513030.SH,德国,0.0,1.0,1.171,next_open_rebalance
2021-03-30,2021-03-29,BUY,512890.SH,红利低波,0.0,0.5,0.704,next_open_rebalance
2021-03-30,2021-03-29,SELL,513030.SH,德国,1.0,0.5,1.188,next_open_rebalance
2021-04-12,2021-04-09,SELL,512890.SH,红利低波,0.5,0.0,0.713,next_open_rebalance
2021-04-12,2021-04-09,BUY,513100.SH,纳指,0.0,0.5,0.926,next_open_rebalance
2021-04-22,2021-04-21,BUY,159949.SZ,创业板50,0.0,0.5,1.247,next_open_rebalance
2021-04-22,2021-04-21,SELL,513100.SH,纳指,0.5,0.0,0.923,next_open_rebalance
2021-04-26,2021-04-23,SELL,159949.SZ,创业板50,0.5,0.25,1.29,next_open_rebalance
2021-04-26,2021-04-23,SELL,513030.SH,德国,0.5,0.25,1.238,next_open_rebalance
2021-04-27,2021-04-26,SELL,513030.SH,德国,0.25,0.0,1.248,next_open_rebalance
2021-04-27,2021-04-26,BUY,513100.SH,纳指,0.0,0.25,0.93,next_open_rebalance
2021-05-07,2021-05-06,SELL,513100.SH,纳指,0.25,0.0,0.905,next_open_rebalance
2021-05-07,2021-05-06,BUY,159985.SZ,豆粕,0.0,0.25,1.335,next_open_rebalance
2021-05-17,2021-05-14,BUY,512890.SH,红利低波,0.0,0.25,0.738,next_open_rebalance
2021-05-17,2021-05-14,SELL,159985.SZ,豆粕,0.25,0.0,1.284,next_open_rebalance
2021-05-21,2021-05-20,SELL,512890.SH,红利低波,0.25,0.0,0.733,next_open_rebalance
2021-05-21,2021-05-20,BUY,162411.SZ,华宝油气,0.0,0.25,0.415,next_open_rebalance
2021-06-17,2021-06-16,SELL,159949.SZ,创业板50,0.25,0.0,1.353,next_open_rebalance
2021-06-17,2021-06-16,BUY,588000.SH,科创50,0.0,0.25,1.455,next_open_rebalance
2021-06-22,2021-06-21,SELL,162411.SZ,华宝油气,0.25,0.0,0.457,next_open_rebalance
2021-06-22,2021-06-21,BUY,159949.SZ,创业板50,0.0,0.25,1.431,next_open_rebalance
2021-06-23,2021-06-22,SELL,159949.SZ,创业板50,0.25,0.0,1.438,next_open_rebalance
2021-06-23,2021-06-22,BUY,162411.SZ,华宝油气,0.0,0.25,0.464,next_open_rebalance
2021-07-08,2021-07-07,SELL,162411.SZ,华宝油气,0.25,0.0,0.448,next_open_rebalance
2021-07-08,2021-07-07,BUY,159949.SZ,创业板50,0.0,0.25,1.526,next_open_rebalance
2021-07-20,2021-07-19,BUY,159985.SZ,豆粕,0.0,0.25,1.323,next_open_rebalance
2021-07-20,2021-07-19,SELL,588000.SH,科创50,0.25,0.0,1.562,next_open_rebalance
