date,code,name,open,high,low,close,volume,amount,ret20_pct,ma20,ma60,bias_pct,trend,market_signal,convex,nav_like,qdii,asset,premium_pb,pb_is_default,latest_signal,last_signal,profit_since_last_signal,momentum_rank,score,score_rank,status_mark,target_holdings
2026-07-02,588000.SH,科创50,2.22,2.24,2.1,2.119,48508911,10527602171.0,14.913232104121477,1.9715500000000001,1.7745666666666666,7.478887169993165,↗,★,↘,1.4474043715846996,False,china_equity,1.01,False,-,0618_B,3.0642023346303615,1,30.913232104121477,1,√√√,科创50|日经225
2026-07-02,513520.SH,日经225,2.44,2.452,2.385,2.387,1742600,422261645.0,5.806737588652489,2.42105,2.194166666666667,-1.4064145721897625,-,-,↘,1.8914421553090333,True,overseas_equity,1.09,False,-,0525_B,8.549340609367896,2,13.806737588652489,4,√√√,科创50|日经225
2026-07-02,563300.SH,中证2000,1.62,1.646,1.592,1.598,5053695,817740860.0,2.633269107257563,1.58175,1.5678666666666665,1.0273431326063065,↗,★,↘,1.620689655172414,False,china_equity,1.0,True,-,0701_B,0.0,3,14.633269107257563,3,×××,科创50|日经225
2026-07-02,164824.SZ,印度,1.302,1.303,1.296,1.303,178570,23195706.741,1.4797507788161912,1.28905,1.2923333333333331,1.0821923121678623,↗,★,↗,1.262596899224806,True,overseas_equity,0.99,False,-,0616_B,-0.7616146230007614,4,15.479750778816191,2,×××,科创50|日经225
2026-07-02,159338.SZ,中证A500,1.329,1.329,1.289,1.295,28460107,3726304913.1,0.0,1.3013499999999998,1.2832333333333332,-0.4879548161524472,↘,●,↘,1.3894849785407724,False,china_equity,1.0,True,0704_S,0618_B,-4.286770140428686,5,-1019.0,6,×××,科创50|日经225
2026-07-02,511380.SH,可转债,14.0,14.066,13.903,13.942,5822442,8143761824.0,-0.4142857142857115,13.957600000000003,14.112866666666665,-0.11176706597124664,↘,●,↘,1.3416089299461125,False,bond,1.0,True,-,0302_S,-,6,-1019.4142857142857,7,×××,科创50|日经225
2026-07-02,159985.SZ,豆粕,2.008,2.069,2.007,2.066,2761592,563592903.881,-0.5296100144439153,2.0079000000000002,2.074466666666667,2.893570396932099,↗,●,↗,1.6178543461237274,False,commodity,1.01,False,-,0401_S,-,7,-992.529610014444,5,×××,科创50|日经225
2026-07-02,520830.SH,沙特,0.889,0.89,0.885,0.886,198056,17579087.0,-2.207505518763797,0.89795,0.9127500000000001,-1.3308090650927085,↘,●,↘,0.8218923933209648,True,overseas_equity,1.0,True,-,0427_S,-,8,-1021.2075055187638,9,×××,科创50|日经225
2026-07-02,159949.SZ,创业板50,2.0,2.0,1.902,1.912,16193919,3139690763.419,-2.6972010178117123,1.9834999999999998,1.8656499999999998,-3.604739097554821,↘,●,↘,1.4787316318638826,False,china_equity,1.0,True,0704_S,0616_B,-4.97017892644136,9,-1021.6972010178117,10,×××,科创50|日经225
2026-07-02,513030.SH,德国,1.764,1.767,1.758,1.759,205857,36307197.0,-3.7746170678337077,1.76575,1.7878333333333332,-0.3822738213223875,↘,●,↗,1.541630148992112,True,overseas_equity,0.99,False,-,0604_S,-,10,-1020.7746170678337,8,×××,科创50|日经225
2026-07-02,513100.SH,纳指,2.193,2.196,2.155,2.158,3419870,745157741.0,-5.059392872855262,2.20015,2.078116666666667,-1.9157784696497981,↘,●,↘,2.489042675893887,True,overseas_equity,1.07,False,-,0623_S,-,11,-1034.0593928728554,15,×××,科创50|日经225
2026-07-02,162411.SZ,华宝油气,0.812,0.813,0.809,0.811,309105,25067039.483,-5.257009345794383,0.8383499999999999,0.8777,-3.2623605892526886,↘,●,↘,2.767918088737202,True,commodity_equity,1.0,True,-,0525_S,-,12,-1024.2570093457944,12,×××,科创50|日经225
2026-07-02,512890.SH,红利低波,1.082,1.099,1.075,1.087,7260147,788467182.0,-6.8551842330762724,1.1266500000000002,1.16065,-3.519282829627668,↘,●,↗,1.6469696969696968,False,china_equity,1.0,True,-,0403_S,-,13,-1023.8551842330762,11,×××,科创50|日经225
2026-07-02,513050.SH,中概互联网,1.005,1.024,0.997,0.999,28702818,2901884570.0,-9.26430517711172,1.04155,1.1416333333333335,-4.085257548845467,↘,●,↗,0.47890699904122724,True,overseas_equity,0.99,False,-,0511_S,-,14,-1026.2643051771117,13,×××,科创50|日经225
2026-07-02,518880.SH,黄金,8.425,8.484,8.397,8.475,5149790,4346984456.0,-9.81164201340854,8.70805,9.385966666666665,-2.6762593232698584,↘,●,↗,2.171963095848283,False,commodity,1.0,True,-,0317_S,-,15,-1026.8116420134086,14,×××,科创50|日经225
