lookback,source,label_date,signal_date,expected_codes,expected_names,target_codes,target_names,exact,hit_ratio,expected_buy_codes,expected_sell_codes,actual_buy_signal_codes,actual_sell_signal_codes,signal_hit,signal_total,action_buy_codes,action_sell_codes,action_hit,action_total,watch_ret_trend_signal,note
20,docx,2026-06-26,2026-06-26,513520.SH|588000.SH,日经225|科创50,513520.SH|164824.SZ,日经225|印度,False,0.5,,,,,0,0,164824.SZ,588000.SH,0,0,科创50:9.84/↗/-; 华宝油气:-5.70/↘/-; 印度:2.51/↗/-; 豆粕:-3.69/↘/-; 日经225:16.06/↗/-,parsed doc_labels.csv
20,docx,2026-06-23,2026-06-23,513520.SH|159949.SZ,日经225|创业板50,513520.SH|588000.SH,日经225|科创50,False,0.5,,,,511380.SH|513100.SH,0,0,,,0,0,科创50:1.25/↗/-; 华宝油气:-6.58/↘/-; 印度:-0.08/-/-; 豆粕:-3.02/↘/-; 日经225:10.77/↗/-,parsed doc_labels.csv
20,docx,2026-06-22,2026-06-22,513520.SH|588000.SH,日经225|科创50,513520.SH|513100.SH,日经225|纳指,False,0.5,,,,513030.SH,0,0,,,0,0,科创50:8.96/↗/-; 华宝油气:-11.50/↘/-; 印度:1.80/↗/-; 豆粕:-4.56/↘/-; 日经225:22.23/↗/-,parsed doc_labels.csv
20,docx,2026-06-18,2026-06-18,513100.SH|513520.SH,纳指|日经225,513520.SH|513100.SH,日经225|纳指,True,1.0,,,563300.SH,,0,0,,,0,0,科创50:8.44/↗/-; 华宝油气:-11.63/↘/-; 印度:3.54/↗/-; 豆粕:-3.93/↘/-; 日经225:22.01/↗/-,parsed doc_labels.csv
20,docx,2026-06-17,2026-06-17,513100.SH|513520.SH,纳指|日经225,513520.SH|513100.SH,日经225|纳指,True,1.0,,,,520830.SH,0,0,,,0,0,科创50:0.41/↗/-; 华宝油气:-12.91/↘/-; 印度:4.54/↗/-; 豆粕:-3.57/↘/-; 日经225:20.89/↗/-,parsed doc_labels.csv
20,docx,2026-06-16,2026-06-16,513100.SH|513520.SH,纳指|日经225,513520.SH|513100.SH,日经225|纳指,True,1.0,,,,512890.SH,0,0,,,0,0,科创50:-0.86/-/-; 华宝油气:-10.58/↘/-; 印度:3.23/↗/-; 豆粕:-5.04/↘/-; 日经225:19.86/↗/-,parsed doc_labels.csv
20,docx,2026-06-15,2026-06-15,513100.SH|513520.SH,纳指|日经225,513520.SH|513100.SH,日经225|纳指,True,1.0,,,159338.SZ|159949.SZ|164824.SZ|511380.SH|513030.SH|588000.SH,,0,0,,,0,0,科创50:2.27/↗/0615_B; 华宝油气:-9.34/↘/-; 印度:2.53/↗/0615_B; 豆粕:-3.59/↘/-; 日经225:19.11/↗/-,parsed doc_labels.csv
20,docx,2026-06-12,2026-06-12,513100.SH|513520.SH,纳指|日经225,513520.SH|513100.SH,日经225|纳指,True,1.0,,,512890.SH|520830.SH,,0,0,,,0,0,科创50:-1.73/↘/-; 华宝油气:-3.69/↘/-; 印度:-1.10/↘/-; 豆粕:-3.45/↘/-; 日经225:9.93/↗/-,parsed doc_labels.csv
20,docx,2026-06-11,2026-06-11,513100.SH|513520.SH,纳指|日经225,513520.SH|513100.SH,日经225|纳指,True,1.0,,,,,0,0,,,0,0,科创50:-3.25/↘/-; 华宝油气:0.23/-/-; 印度:-2.41/↘/-; 豆粕:-5.78/↘/-; 日经225:6.12/↗/-,parsed doc_labels.csv
20,docx,2026-06-09,2026-06-09,513100.SH|513520.SH,纳指|日经225,513520.SH|513100.SH,日经225|纳指,True,1.0,,,159949.SZ,162411.SZ,0,0,,,0,0,科创50:-3.36/↘/-; 华宝油气:-2.02/↘/0609_S; 印度:-2.11/↘/-; 豆粕:-8.12/↘/-; 日经225:10.22/↗/-,parsed doc_labels.csv
20,docx,2026-06-08,2026-06-08,513100.SH|513520.SH,纳指|日经225,513520.SH|162411.SZ,日经225|华宝油气,False,0.5,,,,159949.SZ|588000.SH,0,0,162411.SZ,513100.SH,0,0,科创50:-7.07/↘/0608_S; 华宝油气:2.82/↗/-; 印度:-3.61/↘/-; 豆粕:-7.99/↘/-; 日经225:3.96/↗/-,parsed doc_labels.csv
20,docx,2026-06-05,2026-06-05,513100.SH|513520.SH,纳指|日经225,513100.SH|513520.SH,纳指|日经225,True,1.0,,,162411.SZ,,0,0,,,0,0,科创50:2.08/-/-; 华宝油气:1.83/↗/0605_B; 印度:-3.72/↘/-; 豆粕:-6.25/↘/-; 日经225:6.07/↗/-,parsed doc_labels.csv
