code,price,pct_chg,open,high,low,prev_close,volume,amount,name
000016.SH,2930.87,0.61,2909.93,2933.8,2875.36,2913.19,54140952,218938482668.0,上证50
000300.SH,4761.26,1.4,4691.12,4772.88,4649.04,4695.38,233706989,783581792239.2,沪深300
000688.SH,1978.58,-0.79,1994.44,2026.47,1895.56,1994.32,13735605,171926167599.0,科创50
000852.SH,7862.06,0.95,7799.81,7934.1,7657.67,7787.85,215633473,442342689845.1,中证1000
000905.SH,8200.05,0.76,8135.05,8273.98,7955.31,8138.14,180683432,479034989932.8,中证500
159338.SZ,1.264,1.28,1.248,1.27,1.232,1.248,30487052,3812034119.444,中证A500
159949.SZ,1.826,2.99,1.774,1.844,1.752,1.773,14822378,2664206010.126,创业板50
162411.SZ,0.883,2.91,0.884,0.888,0.879,0.858,1153009,102003211.473,华宝油气
164824.SZ,1.286,-0.46,1.29,1.29,1.284,1.292,85369,10981709.455,印度
399006.SZ,3818.91,2.56,3729.61,3855.03,3673.96,3723.52,169344675,558062108822.54,创业板
399330.SZ,6452.9,2.52,6303.37,6482.88,6251.22,6294.31,91530866,374693610169.33,深证100
512890.SH,1.134,0.71,1.123,1.137,1.121,1.126,6674647,754096116.0,红利低波
513050.SH,1.087,0.18,1.084,1.092,1.061,1.085,23288308,2504588854.0,中概互联网
513100.SH,2.165,-0.14,2.157,2.17,2.136,2.168,2159511,465014576.0,纳指
513520.SH,2.289,0.62,2.275,2.306,2.235,2.275,1965873,447083060.0,日经225
518880.SH,8.386,-0.39,8.302,8.389,8.302,8.419,1815966,1516813815.0,黄金
563300.SH,1.443,0.84,1.436,1.457,1.405,1.431,3481409,497681768.0,中证2000
588000.SH,2.085,-0.71,2.094,2.136,1.998,2.1,39784524,8256165477.0,科创50
932000.CSI,3113.16,0.81,3087.46,3145.11,3030.88,3088.0,225667550,338630437943.0,中证2000
