code,price,pct_chg,open,high,low,prev_close,volume,amount,name,sina_name,quote_date,quote_time
000016.SH,2904.1185,-2.121668923270059,2927.3153,2948.9468,2892.0452,2967.0699,56028390.0,232326668661.0,上证50,上证50,2026-07-16,15:35:46
000300.SH,4698.4344,-1.8456738835110675,4711.532,4771.0573,4673.3503,4786.7828,251560977.0,798830386821.0,沪深300,沪深300,2026-07-16,15:35:34
000688.SH,1846.8766,-4.022136146446953,1869.9362,1947.2472,1828.5734,1924.2735,14226782.0,174820562239.0,科创50,科创50,2026-07-16,15:35:40
000852.SH,7631.7622,-2.3800603116109653,7713.1352,7836.39,7591.4205,7817.8313,248226871.0,473090736173.0,中证1000,中证1000,2026-07-16,15:35:40
000905.SH,7955.6635,-2.3554863281711746,8006.4489,8148.0419,7907.0974,8147.5786,193110603.0,474607241055.0,中证500,中证500,2026-07-16,15:35:40
159338.SZ,1.244,-1.970055161544515,1.259,1.266,1.236,1.269,2747587082.0,3444776077.654,中证A500,中证A500,2026-07-16,15:35:00
159949.SZ,1.768,-2.643171806167399,1.79,1.814,1.746,1.816,1276308438.0,2270314420.492,创业板50,创业板50,2026-07-16,15:35:00
159985.SZ,2.148,-3.7203047960555735,2.232,2.269,2.141,2.231,232738767.0,514387805.207,豆粕,豆粕ETF,2026-07-16,15:35:15
162411.SZ,0.863,-1.931818181818179,0.879,0.884,0.863,0.88,105208586.0,91848518.805,华宝油气,华宝油气,2026-07-16,15:00:00
164824.SZ,1.287,0.07776049766716753,1.283,1.288,1.278,1.286,20060544.0,25724100.548,印度,印度基金,2026-07-16,15:00:00
399006.SZ,3692.457,-2.9502163637434187,3710.507,3796.346,3658.068,3804.704,19845656291.0,577419189990.17,创业板,创业板指,2026-07-16,15:00:03
399330.SZ,6360.399,-1.5611941425774933,6337.837,6474.922,6310.437,6461.272,9572479951.0,369704639371.42,深证100,深证100,2026-07-16,15:00:03
511380.SH,13.755,-0.3333091804941679,13.78,13.847,13.736,13.801,540717214.0,7456714016.0,可转债,可转债ETF博时,2026-07-16,15:34:59
512890.SH,1.141,-0.9548611111111049,1.151,1.159,1.139,1.152,801101785.0,916460547.0,红利低波,红利低波ETF华泰柏瑞,2026-07-16,15:34:59
513030.SH,1.774,0.056401579244225175,1.767,1.777,1.766,1.773,34118700.0,60423217.0,德国,德国ETF华安,2026-07-16,15:34:59
513050.SH,1.145,2.232142857142838,1.136,1.162,1.134,1.12,3647062358.0,4186472365.0,中概互联网,中概互联网ETF易方达,2026-07-16,15:34:59
513100.SH,2.167,-0.959780621572226,2.168,2.179,2.164,2.188,190230546.0,413194562.0,纳指,纳指ETF国泰,2026-07-16,15:34:59
513520.SH,2.28,-2.9787234042553346,2.283,2.304,2.274,2.35,210428800.0,481706179.0,日经225,日经ETF华夏,2026-07-16,15:34:59
518880.SH,8.363,-0.0716931533038645,8.375,8.395,8.349,8.369,180021910.0,1506556933.0,黄金,黄金ETF华安,2026-07-16,15:34:59
520830.SH,0.877,-0.3409090909090917,0.88,0.88,0.877,0.88,16758400.0,14714525.0,沙特,沙特ETF华泰柏瑞,2026-07-16,15:34:59
563300.SH,1.413,-2.079002079002079,1.425,1.453,1.404,1.443,396217345.0,564789063.0,中证2000,中证2000ETF华泰柏瑞,2026-07-16,15:34:59
588000.SH,1.945,-4.092702169625239,1.977,2.054,1.928,2.028,4547499903.0,9033153321.0,科创50,科创50ETF华夏,2026-07-16,15:34:59
