source,label_date,signal_date,expected,final,exact,hit_ratio,layer1,layer2,turnover,expected_buy,actual_buy,expected_sell,actual_sell
docx,2026-06-26,2026-06-26,"['日经225', '科创50']","['日经225', '创业板50']",False,0.5,"['日经225', '科创50']","['日经225', '创业板50']",1,[],[],[],[]
docx,2026-06-23,2026-06-23,"['日经225', '创业板50']","['日经225', '科创50']",False,0.5,"['日经225', '科创50']","['日经225', '科创50']",0,[],[],[],['513100.SH']
docx,2026-06-22,2026-06-22,"['日经225', '科创50']","['日经225', '纳指']",False,0.5,"['日经225', '科创50']","['日经225', '科创50']",0,[],[],[],[]
docx,2026-06-18,2026-06-18,"['纳指', '日经225']","['日经225', '纳指']",True,1.0,"['日经225', '科创50']","['日经225', '科创50']",0,[],[],[],[]
docx,2026-06-17,2026-06-17,"['纳指', '日经225']","['日经225', '纳指']",True,1.0,"['日经225', '纳指']","['日经225', '纳指']",0,[],[],[],[]
docx,2026-06-16,2026-06-16,"['纳指', '日经225']","['日经225', '纳指']",True,1.0,"['日经225', '纳指']","['日经225', '纳指']",0,[],[],[],[]
docx,2026-06-15,2026-06-15,"['纳指', '日经225']","['日经225', '纳指']",True,1.0,"['日经225', '纳指']","['日经225', '纳指']",0,[],"['159949.SZ', '588000.SH']",[],[]
docx,2026-06-12,2026-06-12,"['纳指', '日经225']","['日经225', '纳指']",True,1.0,"['日经225', '纳指']","['日经225', '纳指']",0,[],[],[],[]
docx,2026-06-11,2026-06-11,"['纳指', '日经225']","['日经225', '纳指']",True,1.0,"['日经225', '纳指']","['日经225', '纳指']",0,[],[],[],[]
docx,2026-06-09,2026-06-09,"['纳指', '日经225']","['日经225', '纳指']",True,1.0,"['日经225', '纳指']","['日经225', '纳指']",0,[],['159949.SZ'],[],[]
docx,2026-06-08,2026-06-08,"['纳指', '日经225']","['日经225', '纳指']",True,1.0,"['日经225', '纳指']","['日经225', '纳指']",0,[],[],[],"['159949.SZ', '588000.SH']"
docx,2026-06-05,2026-06-05,"['纳指', '日经225']","['纳指', '日经225']",True,1.0,"['纳指', '日经225']","['纳指', '日经225']",0,[],[],[],[]
docx,2026-06-04,2026-06-04,"['纳指', '日经225']","['纳指', '日经225']",True,1.0,"['纳指', '日经225']","['纳指', '日经225']",0,[],[],[],"['159338.SZ', '513030.SH']"
docx,2026-06-03,2026-06-03,"['纳指', '日经225']","['纳指', '科创50']",False,0.5,"['纳指', '日经225']","['纳指', '日经225']",0,[],[],[],[]
docx,2026-06-02,2026-06-02,"['纳指', '科创50']","['纳指', '科创50']",True,1.0,"['纳指', '日经225']","['纳指', '日经225']",0,[],[],[],[]
docx,2026-06-01,2026-06-01,"['纳指', '科创50']","['纳指', '科创50']",True,1.0,"['纳指', '日经225']","['纳指', '日经225']",0,[],[],[],['563300.SH']
docx,2026-05-29,2026-05-29,"['纳指', '科创50']","['科创50', '纳指']",True,1.0,"['科创50', '纳指']","['科创50', '纳指']",0,[],[],[],[]
docx,2026-05-28,2026-05-28,"['纳指', '科创50']","['纳指', '创业板50']",False,0.5,"['科创50', '纳指']","['科创50', '纳指']",0,[],[],[],[]
docx,2026-05-27,2026-05-27,"['纳指', '创业板50']","['纳指', '日经225']",False,0.5,"['科创50', '纳指']","['科创50', '纳指']",0,[],[],[],[]
docx,2026-05-26,2026-05-26,"['纳指', '日经225']","['科创50', '纳指']",False,0.5,"['科创50', '纳指']","['科创50', '纳指']",0,[],['513030.SH'],[],[]
docx,2026-05-25,2026-05-25,"['纳指', '科创50']","['纳指', '创业板50']",False,0.5,"['科创50', '纳指']","['纳指', '创业板50']",1,[],[],[],['162411.SZ']
docx,2026-05-22,2026-05-22,"['纳指', '科创50']","['纳指', '创业板50']",False,0.5,"['科创50', '纳指']","['科创50', '纳指']",0,[],"['513520.SH', '563300.SH']",[],[]
docx,2026-05-21,2026-05-21,"['创业板50', '纳指']","['纳指', '创业板50']",True,1.0,"['科创50', '纳指']","['科创50', '纳指']",0,[],[],[],[]
docx,2026-05-20,2026-05-20,"['创业板50', '纳指']","['创业板50', '纳指']",True,1.0,"['科创50', '创业板50']","['创业板50', '纳指']",1,[],[],[],['511380.SH']
docx,2026-05-19,2026-05-19,"['创业板50', '科创50']","['科创50', '创业板50']",True,1.0,"['科创50', '创业板50']","['科创50', '创业板50']",0,[],['511380.SH'],[],[]
docx,2026-05-18,2026-05-18,"['创业板50', '科创50']","['创业板50', '纳指']",False,0.5,"['科创50', '创业板50']","['科创50', '创业板50']",0,[],['162411.SZ'],[],[]
docx,2026-05-15,2026-05-15,"['创业板50', '纳指']","['创业板50', '纳指']",True,1.0,"['科创50', '创业板50']","['科创50', '创业板50']",0,[],[],[],[]
docx,2026-05-14,2026-05-14,"['创业板50', '纳指']","['创业板50', '纳指']",True,1.0,"['科创50', '创业板50']","['科创50', '创业板50']",0,[],[],[],[]
docx,2026-05-13,2026-05-13,"['创业板50', '纳指']","['创业板50', '纳指']",True,1.0,"['科创50', '创业板50']","['创业板50', '纳指']",0,[],[],[],[]
docx,2026-05-12,2026-05-12,"['创业板50', '纳指']","['创业板50', '纳指']",True,1.0,"['创业板50', '科创50']","['创业板50', '纳指']",0,[],[],[],[]
docx,2026-05-11,2026-05-11,"['纳指', '创业板50']","['纳指', '创业板50']",True,1.0,"['科创50', '纳指']","['纳指', '创业板50']",0,[],[],[],"['164824.SZ', '513050.SH']"
docx,2026-05-08,2026-05-08,"['创业板50', '纳指']","['科创50', '创业板50']",False,0.5,"['科创50', '纳指']","['科创50', '纳指']",0,[],[],[],[]
docx,2026-05-07,2026-05-07,"['科创50', '创业板50']","['创业板50', '纳指']",False,0.5,"['科创50', '创业板50']","['创业板50', '纳指']",1,[],"['164824.SZ', '513050.SH']",[],[]
docx,2026-05-06,2026-05-06,"['科创50', '创业板50']","['创业板50', '纳指']",False,0.5,"['科创50', '创业板50']","['创业板50', '纳指']",1,[],[],[],[]
manual,2026-07-03,2026-07-02,"['日经225', '科创50']","['科创50', '日经225']",True,1.0,"['科创50', '日经225']","['科创50', '印度']",0,['164824.SZ'],[],"['159338.SZ', '159949.SZ', '563300.SH']","['159338.SZ', '159949.SZ']"
manual,2026-07-06,2026-07-03,"['日经225', '科创50']","['日经225', '科创50']",True,1.0,"['日经225', '科创50']","['科创50', '印度']",0,[],['513030.SH'],[],[]
manual,2026-07-07,2026-07-06,"['日经225', '科创50']","['科创50', '日经225']",True,1.0,"['科创50', '日经225']","['科创50', '印度']",0,['159985.SZ'],[],[],[]
manual,2026-07-08,2026-07-07,"['日经225', '科创50']","['科创50', '日经225']",True,1.0,"['科创50', '印度']","['科创50', '印度']",0,['513030.SH'],[],[],[]
manual,2026-07-09,2026-07-08,"['科创50', '印度']","['科创50', '印度']",True,1.0,"['科创50', '印度']","['科创50', '印度']",1,[],[],['513030.SH'],['513520.SH']
manual,2026-07-10,2026-07-09,['印度'],"['印度', '豆粕']",False,1.0,"['科创50', '印度']","['印度', '豆粕']",1,[],[],[],[]
manual,2026-07-13,2026-07-10,"['印度', '科创50']","['印度', '科创50']",True,1.0,"['科创50', '德国']","['科创50', '德国']",1,[],[],[],[]
