lookback_momentum,signals.buy_confirmation_days,signals.sell_confirmation_days,score.holding_bonus,score.qdii_premium_block,score.overheat_bias_threshold,rebalance.keep_if_rank_le,rebalance.replace_only_if_new_score_better_by,objective,doc_exact_rate,doc_hit_rate,manual_target_rate,manual_signal_rate,avg_turnover,parameter_distance
25,0,0,4.0,8.0,12.0,4,3.0,884.0807542529207,0.6176470588235294,0.8088235294117647,0.8571428571428571,0.2857142857142857,0.1951219512195122,0.0
25,0,0,4.0,8.0,12.0,4,3.0,884.0807542529207,0.6176470588235294,0.8088235294117647,0.8571428571428571,0.2857142857142857,0.1951219512195122,0.0
23,0,0,4.0,8.0,12.0,4,3.0,869.3072350891576,0.6176470588235294,0.8088235294117647,0.7142857142857143,0.2857142857142857,0.21951219512195122,0.08
22,0,0,4.0,8.0,12.0,4,3.0,869.3072350891576,0.6176470588235294,0.8088235294117647,0.7142857142857143,0.2857142857142857,0.21951219512195122,0.12
23,1,0,4.0,8.0,12.0,4,3.0,869.3072350891576,0.6176470588235294,0.8088235294117647,0.7142857142857143,0.2857142857142857,0.21951219512195122,1.08
22,1,0,4.0,8.0,12.0,4,3.0,869.3072350891576,0.6176470588235294,0.8088235294117647,0.7142857142857143,0.2857142857142857,0.21951219512195122,1.12
21,0,0,4.0,8.0,12.0,4,3.0,855.5093256814921,0.6176470588235294,0.8088235294117647,0.5714285714285714,0.2857142857142857,0.1951219512195122,0.16
21,1,0,4.0,8.0,12.0,4,3.0,855.5093256814921,0.6176470588235294,0.8088235294117647,0.5714285714285714,0.2857142857142857,0.1951219512195122,1.16
20,0,0,4.0,8.0,12.0,4,3.0,840.7358065177291,0.6176470588235294,0.8088235294117647,0.42857142857142855,0.2857142857142857,0.21951219512195122,0.2
20,1,0,4.0,8.0,12.0,4,3.0,840.7358065177291,0.6176470588235294,0.8088235294117647,0.42857142857142855,0.2857142857142857,0.21951219512195122,1.2
24,0,0,4.0,8.0,12.0,4,3.0,815.960237753638,0.5588235294117647,0.7794117647058824,0.8571428571428571,0.2857142857142857,0.36585365853658536,0.04
25,1,0,4.0,8.0,12.0,4,3.0,815.960237753638,0.5588235294117647,0.7794117647058824,0.8571428571428571,0.2857142857142857,0.36585365853658536,1.0
24,1,0,4.0,8.0,12.0,4,3.0,815.960237753638,0.5588235294117647,0.7794117647058824,0.8571428571428571,0.2857142857142857,0.36585365853658536,1.04
